,Case,Document Type,Field,Legacy Extracted,Docling Extracted,Status
0,case2,plankart,BSM1,True,True,Match
1,case2,plankart,BSM2,True,True,Match
2,case2,plankart,F42,False,True,Mismatch
3,case2,plankart,GV,True,False,Mismatch
4,case2,plankart,H140,True,True,Match
5,case2,plankart,H320,True,True,Match
6,case2,plankart,LL,True,False,Mismatch
7,case2,plankart,N6489400,False,True,Mismatch
8,case2,plankart,N6489600,False,True,Mismatch
9,case2,plankart,N6489800,False,True,Mismatch
10,case2,plankart,N6490000,False,True,Mismatch
11,case2,plankart,N6490200,False,True,Mismatch
12,case2,plankart,N6490400,False,True,Mismatch
13,case2,plankart,SKV1,True,True,Match
14,case2,plankart,SKV2,True,True,Match
15,case2,plankart,SVG1,True,True,Match
16,case2,plankart,SVG2,True,True,Match
17,case2,plankart,SVG3,True,True,Match
18,case2,plankart,VAA,True,False,Mismatch
19,case2,plankart,VFS,True,False,Mismatch
20,case2,plankart,VNV,True,False,Mismatch
21,case2,plankart,VNV1,True,True,Match
22,case2,plankart,Ø424400,False,True,Mismatch
23,case2,plankart,Ø424600,False,True,Mismatch
24,case2,plankart,Ø424800,False,True,Mismatch
25,case2,plankart,Ø425000,False,True,Mismatch
26,case2,plankart,Ø425200,False,True,Mismatch
27,case2,plankart,Ø425400,False,True,Mismatch
28,case2,plankart,Ø425600,False,True,Mismatch
29,case2,bestemmelser,BSM1,False,True,Mismatch
30,case2,bestemmelser,BSM2,False,True,Mismatch
31,case2,bestemmelser,FV42,True,False,Mismatch
32,case2,bestemmelser,GV,True,False,Mismatch
33,case2,bestemmelser,H140,True,True,Match
34,case2,bestemmelser,H320,True,True,Match
35,case2,bestemmelser,SKV1,True,True,Match
36,case2,bestemmelser,SKV2,True,True,Match
37,case2,bestemmelser,VAA,True,False,Mismatch
38,case2,sosi,BSM1,True,True,Match
39,case2,sosi,BSM2,True,True,Match
40,case2,sosi,GV,True,True,Match
41,case2,sosi,LL1,True,True,Match
42,case2,sosi,LL10,True,True,Match
43,case2,sosi,LL11,True,True,Match
44,case2,sosi,LL12,True,True,Match
45,case2,sosi,LL13,True,True,Match
46,case2,sosi,LL14,True,True,Match
47,case2,sosi,LL15,True,True,Match
48,case2,sosi,LL16,True,True,Match
49,case2,sosi,LL17,True,True,Match
50,case2,sosi,LL18,True,True,Match
51,case2,sosi,LL19,True,True,Match
52,case2,sosi,LL2,True,True,Match
53,case2,sosi,LL20,True,True,Match
54,case2,sosi,LL21,True,True,Match
55,case2,sosi,LL22,True,True,Match
56,case2,sosi,LL23,True,True,Match
57,case2,sosi,LL3,True,True,Match
58,case2,sosi,LL4,True,True,Match
59,case2,sosi,LL5,True,True,Match
60,case2,sosi,LL6,True,True,Match
61,case2,sosi,LL7,True,True,Match
62,case2,sosi,LL8,True,True,Match
63,case2,sosi,LL9,True,True,Match
64,case2,sosi,SKV1,True,True,Match
65,case2,sosi,SKV2,True,True,Match
66,case2,sosi,SVG1,True,True,Match
67,case2,sosi,SVG10,True,True,Match
68,case2,sosi,SVG11,True,True,Match
69,case2,sosi,SVG2,True,True,Match
70,case2,sosi,SVG3,True,True,Match
71,case2,sosi,SVG4,True,True,Match
72,case2,sosi,SVG5,True,True,Match
73,case2,sosi,SVG6,True,True,Match
74,case2,sosi,SVG7,True,True,Match
75,case2,sosi,SVG8,True,True,Match
76,case2,sosi,SVG9,True,True,Match
77,case2,sosi,SVT1,True,True,Match
78,case2,sosi,SVT2,True,True,Match
79,case2,sosi,VAA,True,True,Match
80,case2,sosi,VFS1,True,True,Match
81,case2,sosi,VFS10,True,True,Match
82,case2,sosi,VFS11,True,True,Match
83,case2,sosi,VFS12,True,True,Match
84,case2,sosi,VFS13,True,True,Match
85,case2,sosi,VFS14,True,True,Match
86,case2,sosi,VFS15,True,True,Match
87,case2,sosi,VFS16,True,True,Match
88,case2,sosi,VFS17,True,True,Match
89,case2,sosi,VFS2,True,True,Match
90,case2,sosi,VFS3,True,True,Match
91,case2,sosi,VFS4,True,True,Match
92,case2,sosi,VFS5,True,True,Match
93,case2,sosi,VFS6,True,True,Match
94,case2,sosi,VFS7,True,True,Match
95,case2,sosi,VFS8,True,True,Match
96,case2,sosi,VFS9,True,True,Match
97,case2,sosi,VNV1,True,True,Match
98,case2,sosi,VNV2,True,True,Match
99,case2,sosi,VNV3,True,True,Match
